participant_id,trial_number,group,task_type,input,response,true_output,rt,is_correct,submission_attempts,total_submissions,group_label,rt_seconds
sub_d35aa8f4d33f,1,1,tautological,VIII = VIII + VIII,V,['VIII=VIII=VIII'],240138,False,"[{'answer': 'VIII=XIII-VIII', 'is_correct': False, 'timestamp': {'$numberLong': '1758828498824'}, 'time_from_start': 164453}, {'answer': 'VIII=XIII-VIII', 'is_correct': False, 'timestamp': {'$numberLong': '1758828567436'}, 'time_from_start': 233065}]",2,Same Type (Group 1),240.138
sub_d35aa8f4d33f,2,1,tautological,IV = IV + IV,,['IV=IV=IV'],240146,False,"[{'answer': 'IV=X-VI', 'is_correct': False, 'timestamp': {'$numberLong': '1758828718642'}, 'time_from_start': 141787}, {'answer': 'IV=IV-VIII', 'is_correct': False, 'timestamp': {'$numberLong': '1758828775741'}, 'time_from_start': 198886}, {'answer': 'II=IV-VI', 'is_correct': False, 'timestamp': {'$numberLong': '1758828808522'}, 'time_from_start': 231667}]",3,Same Type (Group 1),240.146
sub_d35aa8f4d33f,3,1,tautological,XII = XII + XII,IIX=,['XII=XII=XII'],240134,False,"[{'answer': 'XII=XII', 'is_correct': False, 'timestamp': {'$numberLong': '1758828898663'}, 'time_from_start': 80055}, {'answer': 'IV=XII-VIII', 'is_correct': False, 'timestamp': {'$numberLong': '1758828935053'}, 'time_from_start': 116445}, {'answer': 'XII=IV+VIII', 'is_correct': False, 'timestamp': {'$numberLong': '1758828986175'}, 'time_from_start': 167567}]",3,Same Type (Group 1),240.134
sub_d35aa8f4d33f,4,1,tautological,IX = IX + IX,IX=,['IX=IX=IX'],240132,False,"[{'answer': 'IX=XI-IX', 'is_correct': False, 'timestamp': {'$numberLong': '1758829116380'}, 'time_from_start': 55530}, {'answer': 'IX=IX-XI', 'is_correct': False, 'timestamp': {'$numberLong': '1758829145077'}, 'time_from_start': 84227}, {'answer': 'IX=X-IX', 'is_correct': False, 'timestamp': {'$numberLong': '1758829169728'}, 'time_from_start': 108878}, {'answer': 'IX-XI', 'is_correct': False, 'timestamp': {'$numberLong': '1758829194079'}, 'time_from_start': 133229}, {'answer': 'IX=XI-IX', 'is_correct': False, 'timestamp': {'$numberLong': '1758829221820'}, 'time_from_start': 160970}, {'answer': 'I=XII', 'is_correct': False, 'timestamp': {'$numberLong': '1758829253499'}, 'time_from_start': 192649}, {'answer': 'IX=IX+IX', 'is_correct': False, 'timestamp': {'$numberLong': '1758829268670'}, 'time_from_start': 207820}]",7,Same Type (Group 1),240.132
sub_d35aa8f4d33f,5,1,tautological,III = III + III,III,['III=III=III'],240129,False,"[{'answer': 'III=VI-III', 'is_correct': False, 'timestamp': {'$numberLong': '1758829369734'}, 'time_from_start': 65315}, {'answer': 'III=VIII-V', 'is_correct': False, 'timestamp': {'$numberLong': '1758829439484'}, 'time_from_start': 135065}, {'answer': 'III=IIX-V', 'is_correct': False, 'timestamp': {'$numberLong': '1758829455968'}, 'time_from_start': 151549}, {'answer': 'III=VIII-V', 'is_correct': False, 'timestamp': {'$numberLong': '1758829505980'}, 'time_from_start': 201561}, {'answer': 'III=X-VII', 'is_correct': False, 'timestamp': {'$numberLong': '1758829533140'}, 'time_from_start': 228721}]",5,Same Type (Group 1),240.129
sub_9503423c9f70,1,1,tautological,VIII = VIII + VIII,VIII=VIII=VIII,['VIII=VIII=VIII'],86065,True,"[{'answer': 'VIII=VIII=VIII', 'is_correct': True, 'timestamp': {'$numberLong': '1758828012613'}, 'time_from_start': 83024}]",1,Same Type (Group 1),86.065
sub_9503423c9f70,2,1,tautological,XII = XII + XII,XII=XII=XII,['XII=XII=XII'],43389,True,"[{'answer': 'XII=XII=XII', 'is_correct': True, 'timestamp': {'$numberLong': '1758828061184'}, 'time_from_start': 40358}]",1,Same Type (Group 1),43.389
sub_9503423c9f70,3,1,tautological,III = III + III,III=III=III,['III=III=III'],20806,True,"[{'answer': 'III=III=III', 'is_correct': True, 'timestamp': {'$numberLong': '1758828084708'}, 'time_from_start': 17759}]",1,Same Type (Group 1),20.806
sub_9503423c9f70,4,1,tautological,IV = IV + IV,IV=IV=IV,['IV=IV=IV'],20733,True,"[{'answer': 'IV=IV=IV', 'is_correct': True, 'timestamp': {'$numberLong': '1758828108480'}, 'time_from_start': 17699}]",1,Same Type (Group 1),20.733
sub_9503423c9f70,5,1,tautological,IX = IX + IX,IX=IX=IX,['IX=IX=IX'],19425,True,"[{'answer': 'IX=IX=IX', 'is_correct': True, 'timestamp': {'$numberLong': '1758828130084'}, 'time_from_start': 16363}]",1,Same Type (Group 1),19.425
sub_8c695f8dca6e,1,1,operator,VI = IV - II,,['VI-IV=II'],240113,False,"[{'answer': '+', 'is_correct': False, 'timestamp': {'$numberLong': '1758828344475'}, 'time_from_start': 170910}, {'answer': 'VI=IV+II', 'is_correct': False, 'timestamp': {'$numberLong': '1758828376271'}, 'time_from_start': 202706}]",2,Same Type (Group 1),240.113
