analysis,n_utterances,n_participants,include_task_type,include_trial_number,weight_mode,acc,acc_ci_lo,acc_ci_hi,auc,auc_ci_lo,auc_ci_hi
A_correct_vs_incorrect__pooled,22068,187,True,True,participant_equal,0.7174642015588182,0.690304567718589,0.7423718939609729,0.672007024915578,0.6432856457044587,0.7004723656995744
B_correct_vs_incorrect__group_diff,11361,91,True,True,participant_equal,0.7238799401461139,0.6964905603622804,0.7495010622601713,0.6245250802620489,0.5976494803071084,0.651121176419605
B_correct_vs_incorrect__group_same,10707,96,True,True,participant_equal,0.6792752404968712,0.6428843448367303,0.7144267874804322,0.6544441528033373,0.6182801195575088,0.6912511189745169
D_first_correct_vs_post_correct__group_diff,2586,65,True,False,participant_class_equal,0.4876256767208043,0.4615038346270546,0.5137327470387633,0.478057104818551,0.45195769461721935,0.504233112941867
D_first_correct_vs_post_correct__group_same,2676,60,True,False,participant_class_equal,0.5511958146487295,0.5260763328587248,0.5755033925320103,0.5546231173628872,0.5224893659503829,0.5861920652191273
D_first_correct_vs_post_correct__pooled,5262,125,True,False,participant_class_equal,0.5311668567084759,0.5132911152899874,0.548617491632572,0.5321105301684204,0.5126689394122015,0.5510680706397433
D_pre_incorrect_vs_first_correct__group_diff,2774,38,True,False,participant_class_equal,0.7469358327325162,0.720681015429006,0.7727473386541519,0.630199499271242,0.5870026706653716,0.6785545032826714
D_pre_incorrect_vs_first_correct__group_same,2578,31,True,False,participant_class_equal,0.6361520558572537,0.6083967434021934,0.6601423654966335,0.5612067399775444,0.5263107692822682,0.5986584431490165
D_pre_incorrect_vs_first_correct__pooled,5352,69,True,False,participant_class_equal,0.6696562032884903,0.6471758253113603,0.6910751116263094,0.5944738340518686,0.5679297227048629,0.6246816273988817
D_pre_incorrect_vs_post_correct__group_diff,1887,25,True,False,participant_class_equal,0.629570747217806,0.5787592485129842,0.6782475951967106,0.5657042170101871,0.5084989236294433,0.6321825649171192
D_pre_incorrect_vs_post_correct__group_same,1692,23,True,False,participant_class_equal,0.6317966903073287,0.605139602154003,0.6610171881422849,0.6469502500209207,0.6121392547263298,0.6866262907341885
D_pre_incorrect_vs_post_correct__pooled,3579,48,True,False,participant_class_equal,0.6429170159262364,0.6096120965860601,0.6752769987044045,0.6222780080786341,0.5852245961273954,0.659757104600448
